Category,Tea type,Flavour,Size,Kilojules,Contains sugar,Limited edition
Milky,,Assam,R,1092,1,0
Milky,,Assam,L,1610,1,0
Milky,,Chocolate,R,1589,1,0
Milky,,Chocolate,L,1890,1,0
Milky,,Chocolate (no sugar),R,822,0,0
Milky,,Chocolate (no sugar),L,1082,0,0
Milky,,Coconut,R,1603,1,0
Milky,,Coconut,L,1990,1,0
Milky,,Coconut (no sugar),R,1118,0,0
Milky,,Coconut (no sugar),L,1478,0,0
Milky,,Earl Grey,R,1103,1,0
Milky,,Earl Grey,L,1490,1,0
Milky,,Hazelnut,R,1001,1,0
Milky,,Hazelnut,L,1365,1,0
Milky,,Hazelnut (no sugar),R,773,0,0
Milky,,Hazelnut (no sugar),L,1023,0,0
Milky,,Honeydew,R,1134,1,0
Milky,,Honeydew,L,1650,1,0
Milky,,Honeydew (no sugar),R,1082,0,0
Milky,,Honeydew (no sugar),L,1426,0,0
Milky,,Jasmine,R,1155,1,0
Milky,,Jasmine,L,1670,1,0
Milky,,Mango,R,935,1,0
Milky,,Mango,L,1535,1,0
Milky,,Mango (no sugar),R,940,0,0
Milky,,Mango (no sugar),L,1241,0,0
Milky,,Matcha Latte,R,847,1,0
Milky,,Matcha Latte,L,1005,1,0
Milky,,Matcha Latte (no sugar),R,437,0,0
Milky,,Matcha Latte (no sugar),L,574,0,0
Milky,,Oolong,R,1110,1,0
Milky,,Oolong,L,1580,1,0
Milky,,Premium,R,1365,1,0
Milky,,Premium,L,1860,1,0
Milky,,Premium (no sugar),R,592,0,0
Milky,,Premium (no sugar),L,779,0,0
Milky,,Roasted,R,1225,1,0
Milky,,Roasted,L,1620,1,0
Milky,,Strawberry,R,1162,1,0
Milky,,Strawberry,L,1765,1,0
Milky,,Strawberry (no sugar),R,1007,0,0
Milky,,Strawberry (no sugar),L,1327,0,0
Milky,,Taro,R,1512,1,0
Milky,,Taro,L,1960,1,0
Milky,,Taro (no sugar),R,1277,0,0
Milky,,Taro (no sugar),L,1683,0,0
Milky,,Thai,R,1078,1,0
Milky,,Thai,L,1880,1,0
Milky,,Thai (no sugar),R,971,0,0
Milky,,Thai (no sugar),L,1280,0,0
Milky,,Vanilla,R,1050,1,0
Milky,,Vanilla,L,1835,1,0
Milky,,Vanilla (no sugar),R,903,0,0
Milky,,Vanilla (no sugar),L,1195,0,0
Hot Milky,,Assam,R,1092,1,0
Hot Milky,,Chocolate,R,1504,1,0
Hot Milky,,Chocolate (no sugar),R,1323,0,0
Hot Milky,,Coconut,R,1418,1,0
Hot Milky,,Coconut (no sugar),R,1270,0,0
Hot Milky,,Earl Grey,R,1103,1,0
Hot Milky,,Hazelnut,R,1118,1,0
Hot Milky,,Hazelnut (no sugar),R,897,0,0
Hot Milky,,Honeydew,R,1366,1,0
Hot Milky,,Honeydew (no sugar),R,1212,0,0
Hot Milky,,Jasmine,R,1155,1,0
Hot Milky,,Mango,R,1279,1,0
Hot Milky,,Mango (no sugar),R,1140,0,0
Hot Milky,,Matcha Latte,R,1073,1,0
Hot Milky,,Matcha Latte (no sugar),R,672,0,0
Hot Milky,,Oolong,R,1110,1,0
Hot Milky,,Premium,R,1404,1,0
Hot Milky,,Premium (no sugar),R,592,0,0
Hot Milky,,Roasted,R,1225,1,0
Hot Milky,,Strawberry,R,1286,1,0
Hot Milky,,Strawberry (no sugar),R,1092,0,0
Hot Milky,,Taro,R,1661,1,0
Hot Milky,,Taro (no sugar),R,1223,0,0
Hot Milky,,Thai,R,1860,1,0
Hot Milky,,Thai (no sugar),R,1860,0,0
Hot Milky,,Vanilla,R,899,1,0
Hot Milky,,Vanilla (no sugar),R,777,0,0
Fresh,,Roasted,R,522,1,0
Fresh,,Roasted,L,,1,0
Fresh,Black,Assam Black,R,504,1,0
Fresh,Black,Assam Black,L,,1,0
Fresh,Green,Jasmine Green,R,546,1,0
Fresh,Green,Jasmine Green,L,,1,0
Fresh,Black,Earl Grey Black,R,462,1,0
Fresh,Black,Earl Grey Black,L,,1,0
Fresh,Green,Oolong Green,R,525,1,0
Fresh,Green,Oolong Green,L,,1,0
Fresh,Black,Premium Black,R,564,1,0
Fresh,Black,Premium Black,L,,1,0
Hot Fresh,,Roasted,R,522,1,0
Hot Fresh,Black,Assam Black,R,504,1,0
Hot Fresh,Green,Jasmine Green,R,546,1,0
Hot Fresh,Black,Earl Grey Black,R,462,1,0
Hot Fresh,Green,Oolong Green,R,525,1,0
Hot Fresh,Black,Premium Black,R,564,1,0
Fruity,Black,Apple,R,672,1,0
Fruity,Black,Apple,L,940,1,0
Fruity,Black,Apple (no sugar),R,553,0,0
Fruity,Black,Apple (no sugar),L,733,0,0
Fruity,Green,Apple,R,672,1,0
Fruity,Green,Apple,L,940,1,0
Fruity,Green,Apple (no sugar),R,553,0,0
