Flavour,Milky,Hot Milky,Fresh,Hot Fresh,Fruity,Frozen,Sparkling
Apple,0,0,0,0,1,0,0
Assam,1,1,0,0,0,0,0
Chocolate,1,1,0,0,0,1,0
Coconut,1,1,0,0,0,0,0
Coffee,0,0,0,0,0,1,0
Earl Grey,1,1,0,0,0,0,0
Earl Grey Black,0,0,1,1,0,0,0
Grapefruit,0,0,0,0,1,0,0
Guava,0,0,0,0,1,0,0
Guava Grapefruit,0,0,0,0,0,1,0
Hazelnut,1,1,0,0,0,0,0
Honeydew,1,1,0,0,0,0,0
Jasmine,1,1,0,0,0,0,0
Jasmine Green,0,0,1,1,0,0,0
Kiwi Kooler,0,0,0,0,0,1,0
Lemon,0,0,0,0,1,0,0
Lychee,0,0,0,0,1,0,0
Mango,1,1,0,0,1,1,0
Mango Passionfruit,0,0,0,0,0,0,1
Matcha Latte,1,1,0,0,0,0,0
Matcha Red Bean,0,0,0,0,0,1,0
Oolong,1,1,0,0,0,0,0
Passionfruit,0,0,0,0,1,1,0
Peach,0,0,0,0,1,0,0
Polar Pineapple,0,0,0,0,0,1,0
Pomegranate,0,0,0,0,1,0,0
Premium,1,1,0,0,0,0,0
Roasted,1,1,1,1,0,0,0
Strawberry,1,1,0,0,1,1,0
Strawberry Guava,0,0,0,0,0,0,1
Taro,1,1,0,0,0,0,0
Thai,1,1,0,0,0,0,0
Tropical,0,0,0,0,1,0,0
Vanilla,1,1,0,0,0,0,0
